name,description,neighborhood_overview,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price
"Classic 19th Century, Central and Quiet (12)","The apartment is located in a recently renovated building from 1898, which has 16 more apartments. A common washing lounge for laundry for the whole building is available (token system, 2,50 euro/load).<br /><br />Near by:<br />AKH (Viennas general hospital), BOKU (University of natural resources and life sciences, Metropol Theater and artis stage Kulisse, Volksoper (Opera), Jörgerbad (public swimming pool)...","Check out Pizzeria Da Annalisa, in Rötznergasse 40, 5 min. walk from the house<br /><br />If you arrive on Sunday evening and everything is closed, Schnitzel City in Elterleinplatz (5 min walking) is always open, there you can taste one of the most typical austrian food in a ""fast food"" version.<br /><br />At Elterleinplatz (next to the tram startion) you have a small shopping centre with a Billa super market and post office.",Hernals,48.22136,16.32926,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,4.0,"[""Fire extinguisher"", ""Washer"", ""Iron"", ""Heating"", ""Wifi"", ""Free street parking"", ""Private entrance"", ""Kitchen"", ""Essentials"", ""Dryer"", ""Keypad"", ""Dishes and silverware"", ""Refrigerator"", ""Self check-in"", ""Hangers"", ""Hair dryer""]",$31.00
"Classic 19th Century, Central and Quiet (22)","The apartment is located in a recently renovated building from 1898, which has 16 more apartments. A common washing lounge for laundry for the whole building is available (token system, 2,50 euro/load).<br />Near by:<br />AKH (Viennas general hospital), BOKU (University of natural resources and life sciences, Metropol Theater and artis stage Kulisse, Volksoper (Opera), Jörgerbad (public swimming pool)...","Check out Pizzeria Da Annalisa, in Rötznergasse 40, 5 min. walk from the house If you arrive on Sunday evening and everything is closed, Schnitzel City in Elterleinplatz (5 min walking) is always open, there you can taste one of the most typical austrian food in a ""fast food"" version. At Elterleinplatz (next to the tram startion) you have a small shopping centre with a Billa super market and post office.",Hernals,48.21965,16.33145,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""Fire extinguisher"", ""Washer"", ""Iron"", ""Heating"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Dryer"", ""Keypad"", ""Self check-in"", ""Hangers"", ""Hair dryer""]",$41.00
"Central, modern, traditional: not rented any more!","This apartment is a real bijoux for its warm and light spaces and tasteful decoration. You live in the heart of Vienna, at a walking distance to virtually all attractions; in an ancient and traditional but fully renovated building with high ceilings, beautiful tiling outside, high quality wooden floors inside and practical installations in addition to the flat.<br />NEW: brand new air conditioning in the whole flat!","The second district of Vienna is a privileged central area of Vienna, with many lovely restaurant, bars, cafés, markets, and green areas. The arm of the Danube is at a 2 minutes walking distance.<br />You find numerous grocery and other shopping opportunities around the corner, but our street is completely calm and one-way.",Leopoldstadt,48.21341,16.38438,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,1.0,3.0,"[""Smoke alarm"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Outdoor dining area"", ""Free dryer \u2013 In unit"", ""Coffee maker"", ""Dedicated workspace"", ""Bathtub"", ""Long term stays allowed"", ""BBQ grill"", ""Paid parking off premises"", ""Crib"", ""Dishes and silverware"", ""Self check-in"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Oven"", ""Cooking basics"", ""50 inch HDTV with premium cable, standard cable"", ""Free washer \u2013 In unit"", ""Microwave"", ""Private patio or balcony"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""High chair"", ""Hangers"", ""Children\u2019s dinnerware"", ""Wifi"", ""Hot water"", ""Bed linens"", ""First aid kit"", ""Refrigerator"", ""Kitchen"", ""Elevator"", ""Extra pillows and blankets"", ""Resort access"", ""Ethernet connection"", ""AC - split type ductless system"", ""Essentials"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Lockbox"", ""Heating"", ""Dishwasher"", ""Private backyard \u2013 Fully fenced""]",$138.00
"Modernes, helles Appartement Nähe Hauptbahnhof","Newly renovated and lovingly furnished old building apartment for up to 6 persons in the immediate vicinity of the main train station, from the city center only three metro stations (U1). <br /><br />Perfect for couples, families who want to visit the city, but also for business travelers.<br /><br />Gratis high-speed W-LAN, TV, Home cinema. <br /><br />Top shopping and likeable gastronomy are located in the neighboring pedestrian zone (Columbusplatz, Viktor-Adler Market) as well as in the vicinity.",,Favoriten,48.17844,16.37403,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,"[""Stove"", ""Coffee maker"", ""Dishes and silverware"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Oven"", ""Cooking basics"", ""Microwave"", ""Hangers"", ""TV"", ""Washer"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Refrigerator"", ""Kitchen"", ""Ethernet connection"", ""Essentials"", ""Heating"", ""Dishwasher""]",
"Bright room in flat w/view,5min to center w/metro","dear guests! <br />My place is very centrally located in Vienna, either walking distance to Stephansplatz(10-15 minutes) or 2 subway stops. Metro is right by the door. A bakery, several supermarkets, many restaurants and cafes are within 5 minutes walk. The apartment is spacious and bright with a perfect view.<br /><br />Every guest has to fill out the guest registration form required by city of vienna laws.<br />I am away most of the weekends, which means you might have the entire apartment for yourself.","The apartment is located very central and in a very nice neighbourhood with many restaurants and cafes. 2 of the TOP10 coffeeshops are vienna are located within 3 minutes on foot from the apartment. Some of the best pizzerias and austrian ""gasthaus""es are also located within 10 minutes walking distance. 3 different supermarkets are only 5minutes away.",Leopoldstadt,48.21697,16.38722,Private room in rental unit,Private room,2,,1.5 shared baths,,,"[""Stove"", ""Coffee maker"", ""Shower gel"", ""Dryer"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dishes and silverware"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Children\u2019s books and toys"", ""Oven"", ""Cooking basics"", ""Baking sheet"", ""Microwave"", ""High chair"", ""Hangers"", ""TV"", ""Washer"", ""Wifi"", ""Mountain view"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Kitchen"", ""Free street parking"", ""Lock on bedroom door"", ""Elevator"", ""City skyline view"", ""Game console"", ""Extra pillows and blankets"", ""Essentials"", ""Heating"", ""Dishwasher""]",
Perfect location for exploring Vienna,"Charming 1900s building in Alsergrund. Two blocks away from the Donaukanal. Close to subway (U4 ) and tram (D, 5, 33). Across the street from supermarket open 7 days a week until 10 p.m. (a rarity in Vienna!)","The Franz-Joseph Bahnhof is across the street and there you can find Billa (supermarket open everyday until 10 p.m.), pharmacy, bakery, BIPA. There is a McDonalds and other fast foods. In the neighborhood there are other supermarkets and many restaurants. <br />Donaukanal is two blocks away. Great space to walk, run or ride you bike. (There is a bike sharing station in front of the apartment).",Alsergrund,48.22731,16.36321,Private room in rental unit,Private room,2,,1 private bath,,,"[""Dishes and silverware"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Children\u2019s books and toys"", ""Microwave"", ""Luggage dropoff allowed"", ""Hangers"", ""Washer"", ""Children\u2019s dinnerware"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Free street parking"", ""Elevator"", ""Essentials"", ""Heating"", ""Dishwasher""]",
SMALL but NICE apartment(23m2)near the centre,apartment,,Margareten,48.18459,16.36104,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Heating"", ""Wifi"", ""Paid washer \u2013 In building"", ""Hot water"", ""Kitchen"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Refrigerator"", ""Hangers"", ""Shampoo"", ""Hair dryer""]",
Cozy & Quiet Room • Near City Center,"Only 13 minutes to the city center!<br /><br /><br />🏠 The Apartment:<br /><br />• New, fully equipped kitchen with dining area<br />• Bathroom with large rain shower, sink & toilet<br />• Wellness bathroom with saline steam shower, light therapy, heated bench, music, sink & storage<br />• Additional separate toilet<br />• Storage room & entrance hall<br /><br />📅 Minimum stay: 30 days (shorter bookings only in exceptional cases)<br /><br />💸 Long-term discount: From the 3rd month onwards, enjoy 10% off (excluding fees)",,Simmering,48.17785446628378,16.409415721893293,Private room in rental unit,Private room,3,2.5,2.5 shared baths,1.0,1.0,"[""Smoke alarm"", ""Coffee"", ""Cleaning products"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water kettle"", ""Hair dryer"", ""Iron"", ""Room-darkening shades"", ""Central heating"", ""Rice maker"", ""Oven"", ""Cooking basics"", ""Paid washer \u2013 In building"", ""Baking sheet"", ""Microwave"", ""Coffee maker: french press, Nespresso, pour-over coffee"", ""Hangers"", ""Toaster"", ""Freezer"", ""Paid street parking off premises"", ""35 inch HDTV with Fire TV, Netflix, standard cable"", ""Hot water"", ""Sonstiges gas stove"", ""Bed linens"", ""First aid kit"", ""Clothing storage: wardrobe and dresser"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Lock on bedroom door"", ""Paid dryer \u2013 In building"", ""Elevator"", ""Portable fans"", ""City skyline view"", ""Body soap"", ""Extra pillows and blankets"", ""Fast wifi \u2013 579 Mbps"", ""Blender"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""Carbon monoxide alarm"", ""Housekeeping available from 11:00\u202fAM to 3:30\u202fPM, Monday - available at extra cost"", ""Private living room"", ""Dishwasher""]",$44.00
Bright 2BR Apt with A/C • Near Augarten & Prater,"Price includes VAT & City Tax<br /><br />Welcome to a bright and fully renovated apartment in the heart of Vienna’s 2nd district.<br />With 2 bedrooms, a spacious living room, 2 toilets, 1 bathroom, and air-conditioning in every room, this place is ideal for families or two couples.<br />Located between the green Augarten and the vibrant Prater park, in a quiet elegant building with an elevator.<br />Parking is just 100m away for 8€ per day.<br />If your dates are unavailable check my other apartments in the same building.","• 2-min walk to Tram 2 – Taborstrasse/Heinestrasse, takes you downtown in 4 stops<br />• 700m to Praterstern – major transport hub (U1, U2, S-Bahn including S7 from airport)<br />• 400m to U2-Taborstrasse metro<br />• 250m to Augarten – a charming park with cafés and a restaurant",Leopoldstadt,48.2230128118911,16.382903382822658,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,2.0,"[""Smoke alarm"", ""Coffee maker: Nespresso"", ""Stove"", ""Coffee"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""Shower gel"", ""Bathtub"", ""Long term stays allowed"", ""Crib"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Shampoo"", ""Air conditioning"", ""Hair dryer"", ""Iron"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Oven"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""Babysitter recommendations"", ""Wine glasses"", ""High chair"", ""Hangers"", ""Children\u2019s dinnerware"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""43 inch HDTV with Amazon Prime Video, Disney+, Netflix"", ""Clothing storage: closet"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Body soap"", ""Extra pillows and blankets"", ""Paid parking garage off premises"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""Lockbox"", ""Carbon monoxide alarm"", ""Heating"", ""Dishwasher""]",$100.00
Deluxe city apartm. in top location incl. Garage,"My perfectly located (just 10 min. walking distance to the 1st district) 72 m2 (= 720 sq ft) modern apartment is very sunny with huge terrace doors and beautifully furnished.  Everything is easily accessible by public transportation; the U1 (underground) is just 2 min. away. <br />You have full access to the entire apartm, incl. dishwasher, laundry machine, WiFi and cooking utensils<br /><br />Entrance hall, open kitchen (NESPRESSO machine), dining/living room, bedroom, bathroom, separate toilet + free parking","The 1st district of Vienna with its top tourist spots is within walking distance (10 min) and every destination is easily accessible by public transportation. To the heard of Vienna – the St. Stephan’s Cathedral – you only have 2 stations with the underground. You will find all major sightseeing places in short distance, like the Opera House, Town House, several theaters, and much more. You can reach the Airport directly by train (CAT) within 20 minutes.<br />The PRATER, Vienna’s ""green lung"" and amusement park is just across the street and makes it an interesting location for families. Praterstern underground station has supermarkets and shops which are also open on weekends and holidays.",Leopoldstadt,48.2158,16.39034,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Coffee maker: Nespresso"", ""Coffee"", ""Pack \u2019n play/Travel crib"", ""Outdoor dining area"", ""Conditioner"", ""Free dryer \u2013 In unit"", ""Garden view"", ""Cleaning products"", ""Shower gel"", ""Standalone high chair - always at the listing"", ""Baby bath"", ""Bathtub"", ""Ceiling fan"", ""L\u2018Occitane body soap"", ""Dedicated workspace"", ""Crib"", ""Dishes and silverware"", ""Backyard"", ""Hot water kettle"", ""Long term stays allowed"", ""Shampoo"", ""Siemens electric stove"", ""Hair dryer"", ""Board games"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Children\u2019s books and toys"", ""Central air conditioning"", ""Rice maker"", ""Courtyard view"", ""Oven"", ""Cooking basics"", ""TV with standard cable"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Microwave"", ""Private patio or balcony"", ""Outdoor furniture"", ""Wifi \u2013 39 Mbps"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Hangers"", ""Toaster"", ""Children\u2019s dinnerware"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Free street parking"", ""Elevator"", ""Portable fans"", ""Table corner guards"", ""Extra pillows and blankets"", ""Blender"", ""Drying rack for clothing"", ""Clothing storage: walk-in closet"", ""Essentials"", ""Free parking on premises"", ""Single level home"", ""Heating"", ""Dishwasher""]",$117.00
Cozy apartment near Westbahnhof & Schönbrunn,"Cozy 2-room apartment near Westbahnhof and Schönbrunn, great location, very well connected area (2 Metros, 2 Tramways, and Bus in front of the door goes directly to the center in 10 mins)<br /><br />This is my private apartment. I have been living here for 3 years and now i would like to put it available on airbnb.<br /><br />As an architect, I did the whole room organisation and interior as i wanted it for myself, so this apartment offers a lot more than needed.","ABOUT THE LOCATION:<br />The great location is one of the main reasons i took this apartment 4 years ago:<br />- 2 Metro Stations: <br />   - U6 Gumpendorfer Strasse (2 minutes away)<br />   - U4 Margaretengürtel or Längenfeldgasse (5 minutes, its in between)<br />- 2 Tramways: 6 and 18 (2 minutes)<br />- Bus 68A (0 minutes - just in front of the door!!)<br /><br />The bus is amazing - it is taking you directly in front of the door to the center in 10 minutes!<br />On the other directions it is going almost to Schönbrunn.<br /><br />- Walking areas:<br />   - Westbahnhof - 5 minutes<br />   - Mariahilfer Strasse - 5 minutes<br />   - Stadthalle - 10 minutes<br />   - Schloss Schönbrunn - 15 minutes<br />   - Technical Museum - 20 minutes<br />   - Haus des Meeres - 20 minutes",Rudolfsheim-Fnfhaus,48.1896,16.33675,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Smoke alarm"", ""Stove"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Oven"", ""Cooking basics"", ""Hangers"", ""Breakfast"", ""Washer"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Refrigerator"", ""Kitchen"", ""Elevator"", ""Extra pillows and blankets"", ""Essentials"", ""Single level home"", ""Carbon monoxide alarm"", ""Heating"", ""Dishwasher""]",
"Modern, bright and quiet apartment near center!","Modern and bright 52 m² apartment in very good location, just 5 min by bus from Vienna Central Station and near to Naschmarkt and the Opera.<br /><br />You can rent my fully equipped flat with all the amnities you need for a nice stay in Vienna!<br /><br />The apartment offers<br />- a big living room<br />- a bedroom<br />- a kitchen<br />- and a bathroom.<br /><br />You'll have everything you need.<br /><br />The location is excellent: You have supermarkets, a drugstore, pharmacy, cafes, restaurants and the public transport just across the street.","The neighborhood is safe and friendly. You have facilities like supermarkets etc. with 3 min walk. There are also some nice locations where you can have a hip breakfast, but I can give you more recommendations later on.",Wieden,48.18925,16.36398,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,"[""Washer"", ""Iron"", ""Wifi"", ""Ethernet connection"", ""Kitchen"", ""Essentials"", ""Breakfast"", ""Host greets you"", ""TV"", ""Heating"", ""Shampoo"", ""Hair dryer"", ""Elevator""]",
Your room in Vienna,"The perfect place for your Viennese visit! Enjoy your stay in this light filled, rooftop apartment with stunning views across the city. You""ll have your own room, bathroom and toilet. The apartment is 1min from the subway line U1 and 4 stops (10min) from the city centre. You will find all amenities from washing machine to hair dryer for a comfortable holiday. Please note Hermann the pug lives here too and is always up for some cuddles. To get to the bedroom you have to climb one flight of stairs","Leopoldstatd is Vienna’s Second District, and that means that the First is just around the corner! For those in a hurry, it takes around 10 minutes by subway to reach the heart of Vienna’s First District; St Stephan’s Cathedral. But if you have a little more time why not walk? A leisurely stroll into the First District only takes 20 minutes and you’ll see more of Vienna on the way. If it’s fun you’re looking for the “Prater” is a short walk where you’ll find the famous ferris wheel and theme park. It is a large public park with lots of long, green walks for those who like the outdoors. There you’ll also find the famous Schweitzerhaus, where you can go for Vienna’s most well known Pork Knuckle! With a choice of 3 supermarkets all within a 5 minute walk your stay in Vienna couldn’t be easier.",Leopoldstadt,48.2246,16.40298,Private room in rental unit,Private room,3,,1 private bath,2.0,,"[""Stove"", ""Coffee maker"", ""Dryer"", ""Bathtub"", ""BBQ grill"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Room-darkening shades"", ""Oven"", ""Cooking basics"", ""Patio or balcony"", ""Microwave"", ""Hangers"", ""TV"", ""Washer"", ""Wifi"", ""Hot water"", ""Host greets you"", ""Refrigerator"", ""Kitchen"", ""Elevator"", ""Free parking on premises"", ""Essentials"", ""Private living room"", ""Heating"", ""Dishwasher""]",
ViennaSky360 - Luxus DG mit Sauna & Whirlpool,"Luxury top floor apartment with spa area! Sauna & Jacuzzi!<br /><br />Center near duplex attic apartment with 90m2 living area and two terraces (DG1 20m2 and DG2 has 150m2)<br /><br />Apartment is fully equipped with blender, refrigerator, stove, smart TV, sound system, Mac, Wi-Fi<br /><br />Terraces with tables, seating, sunbed, deck chair, shower, sauna, cooling pool, whirlpool.<br /><br />Not visible to the neighbors!<br /><br />Furthermore, we can provide cars on request. Garage available!","Public transport is in about 10 in the first district. Supermarket, shopping street Mariahilferstraße, gas station, pharmacy in the immediate vicinity.",Mariahilf,48.19112,16.33973,Entire rental unit,Entire home/apt,1,,1 bath,2.0,,"[""Smoke alarm"", ""Dryer"", ""Shampoo"", ""Air conditioning"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Private entrance"", ""Hot tub"", ""Hangers"", ""TV"", ""Washer"", ""Wifi"", ""Hot water"", ""Host greets you"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Free parking on premises"", ""Essentials"", ""Carbon monoxide alarm"", ""Heating""]",
Quiet located flat next to Naschmarkt / Karlsplatz,"The flat is really nice, comfortable and peacefully situated in the near of Karlsplatz und Naschmarkt. In around 7 minutes you can reach the underground U4, so you can easily get to Schloß Schönbrunn. A great starting point for the Vienna Christmas markets. Just around the corner there a some nice and smale cafes and bars.<br /><br />If you need some tips about Vienna, feel free to ask me.<br /><br />I am just moved that's why my flat is free.<br />I am looking forward to see you!",,Margareten,48.18606,16.35852,Entire rental unit,Entire home/apt,2,,1 bath,,,"[""Washer"", ""Iron"", ""Heating"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Shampoo"", ""Hair dryer"", ""Elevator""]",
"Bright and Spacious 84m², 3 Bedroom Apartment","Bright, homely and well kept traditional (Altbau) apartment from 1903. Situtated right across the road from a U6 Subway station, this apartment is perfect for those wanting to explore the city (15min to the centre) and all the other attractions Vienna has to offer. A local bakery, supermarket and a City Bikes Station are 25 meters away.","The 9th district is a wonderful district to live in, because it is centrally located. It's easy to get to Mariahilferstrasse (shopping), Westbahnhof, the Donaukanal (running and bars in the summer), the Prater and of course the inner city.",Alsergrund,48.2257,16.3501,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,3.0,"[""Smoke alarm"", ""Washer \u2013\u00a0In building"", ""Stove"", ""Coffee"", ""Coffee maker"", ""Dedicated workspace"", ""Bathtub"", ""Long term stays allowed"", ""Crib"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Private entrance"", ""Oven"", ""Cooking basics"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Hangers"", ""Toaster"", ""Wifi"", ""Hot water"", ""Bed linens"", ""First aid kit"", ""Clothing storage"", ""Refrigerator"", ""Kitchen"", ""Body soap"", ""Essentials"", ""Lockbox"", ""Carbon monoxide alarm"", ""Heating"", ""Dishwasher""]",$80.00
"Gorgeous, quiet and bright Studio close to center","We warmly welcome you to the world metropolis of Vienna. :)<br />Our apartment is located only a short distance away from the city center, which can be reached in 10 minutes on foot or by tram no. 43 (2 stations).<br /><br /><br />Dear Guests/Travellers and AirBnB friends!<br /><br />Welcome to Vienna, a legend among the historical cities! We are offering a nice and cosy apartment just within a walking distance (10 min.) or 2 tram stops to the city center.","You will find many Cafes, shops, the old university campus and the Alser Strasse, which is basically the local shopping mile and leads you to the inner ring (city center), just close by.",Alsergrund,48.21764,16.34964,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,1.0,"[""Iron"", ""Heating"", ""Wifi"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Kitchen"", ""Essentials"", ""Bed linens"", ""Lockbox"", ""First aid kit"", ""Crib"", ""Refrigerator"", ""Self check-in"", ""Hangers"", ""Shampoo"", ""Hair dryer"", ""Elevator""]",$70.00
Best Vienna Apartment 2 minutes from Metro,"Hello friends!<br />I'm offering my small studio apartment near Prater, congress center Messe Wien and Vienna university of economics for travelers such as you! The apartment has one main room with two separate beds, a desk, and a small kitchen with all amenities,  bathroom with stand up shower. My apartment has got a lovely view facing the quite street and Vienna skyscrapers. There are two great restaurants right in the building. And the city center is just 10 minutes away from here.",,Leopoldstadt,48.21521,16.41334,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Smoke alarm"", ""Iron"", ""Heating"", ""Wifi"", ""Hot water"", ""Kitchen"", ""Essentials"", ""Host greets you"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hangers"", ""Shampoo"", ""Hair dryer"", ""Elevator""]",
Charming room in a central aristocratic apartment,"Large comfortable room in an old charm apartment with 4m high ceilings in a architecturally protected building right in the city center next to Marihilferstrasse. Common usage of living room, fully equipped kitchen and shower / WC (if no one from us is in Vienna entire property can be used by the guests). For details please refer to the floor plan attached.",,Mariahilf,48.19652,16.35136,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Coffee maker"", ""Paid washer \u2013 In unit"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dishes and silverware"", ""Shampoo"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Wifi"", ""Hot water"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Kitchen"", ""Lock on bedroom door"", ""Essentials"", ""Private living room"", ""Heating""]",$65.00
10 min to City Center: Spacious City Apartment,"Newly rennovated building, 67m2 big flat with 2 sleeping rooms and a 30m^2 living room. <br />As I sometimes use the flat for my own I made sure that the flat entails everything you need and to feel comfortable. Its just 10 minutes by foot to the first district and very close to a small Viennese river. The metro is right outside of the building, so you can get easily to other places.  The neighbourhood is known as Servitenviertel, the small-Paris of Vienna :)","SPAR/BILLA for your breakfast essentials, cafes, restaurants and bakeries are all in short walking distance on Servitengasse.",Alsergrund,48.22036,16.36767,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"[""Smoke alarm"", ""Stove"", ""Coffee maker"", ""Bathtub"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Shampoo"", ""Air conditioning"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Private entrance"", ""Oven"", ""Cooking basics"", ""TV with standard cable"", ""Microwave"", ""Hangers"", ""Washer"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Refrigerator"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Carbon monoxide alarm"", ""Heating"", ""Dishwasher""]",$84.00
Top Studio Apartment 10 min to City Center,"Hello friends!<br />I'm offering my small studio apartment near Prater, congress center Messe Wien and Vienna university of economics for travelers such as you! The apartment has one main room with a big double bed, a desk, and a small kitchen with all amenities, bathroom with stand up shower. My apartment has got a lovely view facing the quite street and Vienna skyscrapers. There are two great restaurants right in the building. And the city center is just 10 minutes away from here.<br />Welcome!",,Leopoldstadt,48.21506,16.41131,Entire rental unit,Entire home/apt,2,,1 bath,,,"[""Smoke alarm"", ""Iron"", ""Heating"", ""Wifi"", ""Hot water"", ""Kitchen"", ""Essentials"", ""Host greets you"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hangers"", ""Shampoo"", ""Hair dryer"", ""Elevator""]",
Top Wohnung in absolut Top Lage,"Modernly furnished very well maintained, quiet apartment on two levels in an absolutely top location in the trendy 7th district near the Museumsquartier. <br /><br />The Art and Natural History Museum  as well as Mariahilfer Straße and the Ring are ten minutes walk from the apartment. There are two stations with the U-Bahn to Stephansplatz.<br />In the immediate vicinity of the apartment there are numerous shops as well as restaurants, bars, pub.","The 7th district of Vienna is a trendy district. Lots of nice places, very central, close to the center.",Neubau,48.20375,16.35123,Entire rental unit,Entire home/apt,2,,1 bath,2.0,,"[""Washer"", ""Iron"", ""Heating"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""TV"", ""Air conditioning"", ""Hair dryer""]",
großzügiges Apartment 88m²,"The 88m² apartment is located on the 1st floor and offers a comfortable space for up to 5 people. <br /><br />It has an anteroom, bedroom, living room with sofa bed, kitchen with dining area, bathroom and toilet. Kitchen and living room overlook in the garden. Bedroom is very quiet despite the orientation to the street. <br /><br />In the garden of the house is a children's playground, which can of course be shared. BBQ area and house bar can be used by arrangement.","There are many shopping opportunities in the area (including grocery stores, shopping center).",Simmering,48.18224,16.40718,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,3.0,"[""Coffee"", ""Outdoor dining area"", ""Sun loungers"", ""42 inch HDTV with standard cable"", ""Cleaning products"", ""Shower gel"", ""Dedicated workspace"", ""Long term stays allowed"", ""Ceiling fan"", ""Crib"", ""Dishes and silverware"", ""Shared BBQ grill: charcoal, gas"", ""Hot water kettle"", ""Shampoo"", ""Hair dryer"", ""Indoor fireplace: wood-burning"", ""Iron"", ""Books and reading material"", ""Central heating"", ""Oven"", ""Cooking basics"", ""Coffee maker: pour-over coffee"", ""Baking sheet"", ""Microwave"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Cleaning available during stay"", ""Hangers"", ""Outdoor playground"", ""Toaster"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Clothing storage: wardrobe and dresser"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Portable fans"", ""Shared backyard \u2013 Fully fenced"", ""Electric stove"", ""Drying rack for clothing"", ""Ethernet connection"", ""Essentials"", ""Piano"", ""Nivea body soap"", ""Bikes"", ""Paid parking garage off premises"", ""Single level home"", ""Pets allowed"", ""Safe"", ""Fire pit"", ""Free washer \u2013 In building""]",$150.00
